.headers on

--Name: Shae Morlis
--File: Lab3-shae.sql
-- Date: January 26, 2021

--1. What is the order number and the date of each order sold by each employee?
select e.employeeid, e.titleofcourtesy, e.firstname, e.lastname, o.orderid, o.orderdate 
from employees e inner join orders o on e.employeeid = o.employeeid;
EmployeeID|TitleOfCourtesy|FirstName|LastName|OrderID|OrderDate
1|Ms.|Nancy|Davolio|10258|1996-07-17
1|Ms.|Nancy|Davolio|10270|1996-08-01
1|Ms.|Nancy|Davolio|10275|1996-08-07
1|Ms.|Nancy|Davolio|10285|1996-08-20
1|Ms.|Nancy|Davolio|10292|1996-08-28
1|Ms.|Nancy|Davolio|10293|1996-08-29
1|Ms.|Nancy|Davolio|10304|1996-09-12
1|Ms.|Nancy|Davolio|10306|1996-09-16
1|Ms.|Nancy|Davolio|10311|1996-09-20
1|Ms.|Nancy|Davolio|10314|1996-09-25
1|Ms.|Nancy|Davolio|10316|1996-09-27
1|Ms.|Nancy|Davolio|10325|1996-10-09
1|Ms.|Nancy|Davolio|10340|1996-10-29
1|Ms.|Nancy|Davolio|10351|1996-11-11
1|Ms.|Nancy|Davolio|10357|1996-11-19
1|Ms.|Nancy|Davolio|10361|1996-11-22
1|Ms.|Nancy|Davolio|10364|1996-11-26
1|Ms.|Nancy|Davolio|10371|1996-12-03
1|Ms.|Nancy|Davolio|10374|1996-12-05
1|Ms.|Nancy|Davolio|10376|1996-12-09
1|Ms.|Nancy|Davolio|10377|1996-12-09
1|Ms.|Nancy|Davolio|10385|1996-12-17
1|Ms.|Nancy|Davolio|10387|1996-12-18
1|Ms.|Nancy|Davolio|10393|1996-12-25
1|Ms.|Nancy|Davolio|10394|1996-12-25
1|Ms.|Nancy|Davolio|10396|1996-12-27
1|Ms.|Nancy|Davolio|10400|1997-01-01
1|Ms.|Nancy|Davolio|10401|1997-01-01
1|Ms.|Nancy|Davolio|10405|1997-01-06
1|Ms.|Nancy|Davolio|10453|1997-02-21
1|Ms.|Nancy|Davolio|10461|1997-02-28
1|Ms.|Nancy|Davolio|10465|1997-03-05
1|Ms.|Nancy|Davolio|10469|1997-03-10
1|Ms.|Nancy|Davolio|10473|1997-03-13
1|Ms.|Nancy|Davolio|10482|1997-03-21
1|Ms.|Nancy|Davolio|10486|1997-03-26
1|Ms.|Nancy|Davolio|10508|1997-04-16
1|Ms.|Nancy|Davolio|10524|1997-05-01
1|Ms.|Nancy|Davolio|10525|1997-05-02
1|Ms.|Nancy|Davolio|10537|1997-05-14
1|Ms.|Nancy|Davolio|10542|1997-05-20
1|Ms.|Nancy|Davolio|10546|1997-05-23
1|Ms.|Nancy|Davolio|10558|1997-06-04
1|Ms.|Nancy|Davolio|10562|1997-06-09
1|Ms.|Nancy|Davolio|10567|1997-06-12
1|Ms.|Nancy|Davolio|10579|1997-06-25
1|Ms.|Nancy|Davolio|10587|1997-07-02
1|Ms.|Nancy|Davolio|10591|1997-07-07
1|Ms.|Nancy|Davolio|10598|1997-07-14
1|Ms.|Nancy|Davolio|10604|1997-07-18
1|Ms.|Nancy|Davolio|10605|1997-07-21
1|Ms.|Nancy|Davolio|10612|1997-07-28
1|Ms.|Nancy|Davolio|10616|1997-07-31
1|Ms.|Nancy|Davolio|10618|1997-08-01
1|Ms.|Nancy|Davolio|10626|1997-08-11
1|Ms.|Nancy|Davolio|10630|1997-08-13
1|Ms.|Nancy|Davolio|10653|1997-09-02
1|Ms.|Nancy|Davolio|10655|1997-09-03
1|Ms.|Nancy|Davolio|10664|1997-09-10
1|Ms.|Nancy|Davolio|10665|1997-09-11
1|Ms.|Nancy|Davolio|10668|1997-09-15
1|Ms.|Nancy|Davolio|10671|1997-09-17
1|Ms.|Nancy|Davolio|10677|1997-09-22
1|Ms.|Nancy|Davolio|10680|1997-09-24
1|Ms.|Nancy|Davolio|10689|1997-10-01
1|Ms.|Nancy|Davolio|10690|1997-10-02
1|Ms.|Nancy|Davolio|10709|1997-10-17
1|Ms.|Nancy|Davolio|10710|1997-10-20
1|Ms.|Nancy|Davolio|10713|1997-10-22
1|Ms.|Nancy|Davolio|10717|1997-10-24
1|Ms.|Nancy|Davolio|10718|1997-10-27
1|Ms.|Nancy|Davolio|10733|1997-11-07
1|Ms.|Nancy|Davolio|10743|1997-11-17
1|Ms.|Nancy|Davolio|10746|1997-11-19
1|Ms.|Nancy|Davolio|10773|1997-12-11
1|Ms.|Nancy|Davolio|10776|1997-12-15
1|Ms.|Nancy|Davolio|10785|1997-12-18
1|Ms.|Nancy|Davolio|10788|1997-12-22
1|Ms.|Nancy|Davolio|10789|1997-12-22
1|Ms.|Nancy|Davolio|10792|1997-12-23
1|Ms.|Nancy|Davolio|10800|1997-12-26
